"","lab","w"
"106","EWT",0.000594883997620464
"107","SCHX",0.000594883997620464
"108","IJJ",0.000594883997620464
"109","VT",0.000594883997620464
"110","VXF",0.000594883997620464
"111","SHV",0.000594883997620464
"112","SCPB",0.000594883997620464
"113","VOE",0.000594883997620464
"114","SCHF",0.000594883997620464
"115","EWH",0.000594883997620464
"116","MINT",0.000594883997620464
"117","FXH",0.000594883997620464
"118","INDA",0.000594883997620464
"119","VOT",0.000594883997620464
"120","IJS",0.000594883997620464
"121","BNDX",0.000594883997620464
"122","ICF",0.000594883997620464
"123","EWZ",0.000594883997620464
"124","VPL",0.000594883997620464
"125","IJT",0.000594883997620464
"126","DBC",0.000594883997620464
"127","VNQI",0.000594883997620464
"128","USO",0.000594883997620464
"129","FBT",0.000594883997620464
"130","RWR",0.000594883997620464
"131","FV",0.000594883997620464
"132","FLOT",0.000594883997620464
"133","PKW",0.000594883997620464
"134","TBT",0.000594883997620464
"135","IEV",0.000594883997620464
"136","HYS",0.000594883997620464
"137","CWB",0.000594883997620464
"138","EWU",0.000594883997620464
"139","EFV",0.000594883997620464
"140","IYW",0.000594883997620464
"141","XLB",0.000594883997620464
"142","PGX",0.000594883997620464
"143","SCHA",0.000594883997620464
"144","EPP",0.000594883997620464
"145","SCHD",0.000594883997620464
"146","FDN",0.000594883997620464
"147","BOND",0.000594883997620464
"148","VFH",0.000594883997620464
"149","EWC",0.000594883997620464
"150","GUNR",0.000594883997620464
"151","MLPI",0.000594883997620464
"152","HEFA",0.000594883997620464
"153","EEMV",0.000594883997620464
"154","KBE",0.000594883997620464
"155","VSS",0.000594883997620464
"156","SHM",0.000594883997620464
"157","PCY",0.000594883997620464
"158","VDC",0.000594883997620464
"159","FXD",0.000594883997620464
"160","MCHI",0.000594883997620464
"161","DEM",0.000594883997620464
"162","FXG",0.000594883997620464
"163","EFAV",0.000594883997620464
"164","IYH",0.000594883997620464
"165","RSX",0.000594883997620464
"166","DBEU",0.000594883997620464
"167","IGE",0.000594883997620464
"168","EPI",0.000594883997620464
"169","ITOT",0.000594883997620464
"170","ACWV",0.000594883997620464
"171","IYE",0.000594883997620464
"172","TDTT",0.000594883997620464
"173","RPG",0.000594883997620464
"174","RWO",0.000594883997620464
"175","VIS",0.000594883997620464
"176","SCHG",0.000594883997620464
"177","ACWX",0.000594883997620464
"178","DLN",0.000594883997620464
"179","ITB",0.000594883997620464
"180","XBI",0.000594883997620464
"181","VCR",0.000594883997620464
"182","PJP",0.000594883997620464
"183","SSO",0.000594883997620464
"184","MGK",0.000594883997620464
"185","EFG",0.000594883997620464
"186","EWW",0.000594883997620464
"187","PDP",0.000594883997620464
"188","XOP",0.000594883997620464
"189","IOO",0.000594883997620464
"190","FEX",0.000594883997620464
"191","SCHM",0.000594883997620464
"192","EWP",0.000594883997620464
"193","VPU",0.000594883997620464
"194","GVI",0.000594883997620464
"195","KRE",0.000594883997620464
"196","BWX",0.000594883997620464
"197","EWA",0.000594883997620464
"198","VTIP",0.000594883997620464
"199","IXJ",0.000594883997620464
"200","GDXJ",0.000594883997620464
"201","DON",0.000594883997620464
"202","HEWG",0.000594883997620464
"203","HYD",0.000594883997620464
"204","IXUS",0.000594883997620464
"205","XHB",0.000594883997620464
"206","PID",0.000594883997620464
"207","SCHZ",0.000594883997620464
"208","SH",0.000594883997620464
"209","FIGY",0.000594883997620464
"210","DGS",0.000594883997620464
"211","PGF",0.000594883997620464
"212","DWX",0.000594883997620464
"213","SCHE",0.000594883997620464
"214","OIH",0.000594883997620464
"215","BIL",0.000594883997620464
"216","SCHV",0.000594883997620464
"217","GXC",0.000594883997620464
"218","VMBS",0.000594883997620464
"219","MOO",0.000594883997620464
"220","DJP",0.000594883997620464
"221","UUP",0.000594883997620464
"222","FAS",0.000594883997620464
"223","SDS",0.000594883997620464
"224","VAW",0.000594883997620464
"225","SDOG",0.000594883997620464
"226","FTA",0.000594883997620464
"227","BLV",0.000594883997620464
"228","SCHH",0.000594883997620464
"229","DES",0.000594883997620464
"230","TFI",0.000594883997620464
"231","DTN",0.000594883997620464
"232","IGF",0.000594883997620464
"233","IXC",0.000594883997620464
"234","ASHR",0.000594883997620464
"235","REM",0.000594883997620464
"236","VXX",0.000594883997620464
